event_time_rec,marijuana,alcohol
-8,.071126387,.1070862
-7,.067319982,.1005539
-6,.063217945,.086035788
-5,.061326064,.093677789
-4,.062928349,.086863965
-3,.072869703,.094229631
-2,.077716306,.087674268
-1,.067151085,.096985742
0,.0602654,.094512373
1,.045863014,.098739728
2,.0430068,.091190346
3,.047363032,.093830004
4,.06056042,.10522769
5,.068061635,.10444019
6,.024010349,.11016817
7,.032154541,.11074755
8,.02128629,.11157402
9,.085983768,.1022154
10,0,.11561181
11,0,.11668611
12,0,.095004596
,.028053574,.10328841
