sex,per_typ,marijuana,alcohol,cases
1,1,0,0,777305
1,1,0,1,142204
1,1,1,0,31139
1,1,1,1,15024
1,2,0,0,337410
1,2,0,1,7882
1,2,1,0,4655
1,2,1,1,643
1,3,0,0,4892
1,3,0,1,31
1,3,1,0,40
1,4,0,0,721
1,4,0,1,21
1,4,1,0,3
1,4,1,1,1
1,5,0,0,78171
1,5,0,1,16982
1,5,1,0,3788
1,5,1,1,1518
1,6,0,0,15210
1,6,0,1,1669
1,6,1,0,796
1,6,1,1,160
1,7,0,0,99
1,7,0,1,6
1,7,1,0,3
1,8,0,0,2465
1,8,0,1,231
1,8,1,0,127
1,8,1,1,24
2,1,0,0,300198
2,1,0,1,27841
2,1,1,0,6733
2,1,1,1,2813
2,2,0,0,329434
2,2,0,1,3586
2,2,1,0,2392
2,2,1,1,248
2,3,0,0,2505
2,3,0,1,14
2,3,1,0,8
2,4,0,0,460
2,4,0,1,1
2,5,0,0,39103
2,5,0,1,4432
2,5,1,0,1158
2,5,1,1,357
2,6,0,0,2471
2,6,0,1,124
2,6,1,0,87
2,6,1,1,11
2,7,0,0,40
2,8,0,0,714
2,8,0,1,19
2,8,1,0,16
8,1,0,0,308
8,1,0,1,30
8,1,1,0,18
8,1,1,1,5
8,2,0,0,604
8,2,0,1,3
8,2,1,0,7
8,3,0,0,20
8,5,0,0,97
8,5,0,1,14
8,5,1,0,4
8,5,1,1,1
8,6,0,0,28
8,6,0,1,4
8,8,0,1,1
9,1,0,0,6996
9,1,0,1,57
9,1,1,0,3
9,1,1,1,1
9,2,0,0,4939
9,2,0,1,13
9,2,1,0,1
9,2,1,1,1
9,3,0,0,26
9,4,0,0,12
9,5,0,0,74
9,5,0,1,5
9,5,1,0,1
9,6,0,0,7
9,6,1,0,1
9,8,0,0,1
