state,year,statename_fixed,total_cases,fatalities,marijuana,alcohol,poly_drug
1,2000,Alabama,50,50,0,.12,0
1,2001,Alabama,37,37,0,.081081077,0
1,2002,Alabama,41,41,0,.097560972,0
1,2003,Alabama,46,46,0,.086956523,0
1,2004,Alabama,85,85,0,.094117649,.011764706
1,2005,Alabama,74,74,.027027028,.10810811,.027027028
1,2006,Alabama,102,102,0,.15686275,0
1,2007,Alabama,56,56,0,.14285715,0
1,2008,Alabama,40,40,0,.125,0
1,2009,Alabama,35,35,.028571429,.17142858,.028571429
1,2010,Alabama,32,32,.03125,.0625,.03125
1,2011,Alabama,30,30,0,.1,0
1,2012,Alabama,16,16,0,.0625,0
1,2013,Alabama,27,27,.037037037,.11111111,.074074075
1,2014,Alabama,41,41,.048780486,.097560972,.073170729
1,2015,Alabama,38,38,.10526316,.10526316,.10526316
1,2016,Alabama,49,49,.040816326,.10204082,.040816326
1,2017,Alabama,28,28,.035714287,.17857143,.10714286
1,2018,Alabama,38,38,.078947365,.078947365,.078947365
1,2019,Alabama,38,38,.02631579,.078947365,.052631579
1,2020,Alabama,34,34,.05882353,.05882353,.14705883
1,2021,Alabama,41,41,.024390243,0,.048780486
1,2022,Alabama,31,31,0,.032258064,.12903225
1,2023,Alabama,33,33,0,.060606062,.15151516
1,2024,Alabama,39,39,0,.1025641,.051282052
2,2000,Alaska,9,9,0,.33333334,0
2,2001,Alaska,6,6,.16666667,.33333334,0
2,2002,Alaska,7,7,0,.2857143,0
2,2003,Alaska,4,4,0,.5,0
2,2004,Alaska,18,18,0,.11111111,0
2,2005,Alaska,3,3,0,.33333334,0
2,2006,Alaska,3,3,.33333334,.33333334,0
2,2007,Alaska,4,4,0,.25,0
2,2008,Alaska,2,2,0,.5,0
2,2009,Alaska,2,2,.5,0,0
2,2010,Alaska,2,2,0,.5,0
2,2011,Alaska,4,4,0,.25,0
2,2012,Alaska,2,2,0,0,0
2,2013,Alaska,2,2,0,0,0
2,2014,Alaska,2,2,0,0,0
2,2015,Alaska,1,1,1,0,1
2,2016,Alaska,4,4,.25,.25,.25
2,2017,Alaska,3,3,0,.33333334,0
2,2018,Alaska,2,2,.5,.5,.5
2,2019,Alaska,3,3,0,.33333334,0
2,2020,Alaska,1,1,0,0,0
2,2021,Alaska,4,4,.5,.25,.75
2,2022,Alaska,3,3,0,0,0
2,2023,Alaska,1,1,0,1,0
2,2024,Alaska,5,5,0,.2,0
4,2000,Arizona,47,47,0,.17021276,.04255319
4,2001,Arizona,44,44,0,.11363637,.022727273
4,2002,Arizona,54,54,.018518519,.12962963,.037037037
4,2003,Arizona,48,48,0,.10416666,.083333336
4,2004,Arizona,50,50,0,.059999999,.039999999
4,2005,Arizona,62,62,.032258064,.080645159,.064516127
4,2006,Arizona,73,73,.01369863,.02739726,.01369863
4,2007,Arizona,43,43,0,.11627907,.023255814
4,2008,Arizona,44,44,.022727273,.11363637,.06818182
4,2009,Arizona,32,32,0,.09375,.03125
4,2010,Arizona,26,26,0,.15384616,0
4,2011,Arizona,31,31,.032258064,.096774191,.064516127
4,2012,Arizona,36,36,.027777778,.083333336,.027777778
4,2013,Arizona,31,31,.032258064,.12903225,.032258064
4,2014,Arizona,18,18,0,0,0
4,2015,Arizona,31,31,.064516127,.096774191,.096774191
4,2016,Arizona,34,34,0,.05882353,.11764706
4,2017,Arizona,48,48,0,.10416666,.083333336
4,2018,Arizona,34,34,.088235296,.088235296,.17647059
4,2019,Arizona,41,41,0,.097560972,0
4,2020,Arizona,31,31,.032258064,.064516127,.032258064
4,2021,Arizona,62,62,.032258064,.064516127,.064516127
4,2022,Arizona,104,104,0,.028846154,.067307696
4,2023,Arizona,143,143,0,.07692308,.11188811
4,2024,Arizona,82,82,0,.1097561,.21951219
5,2000,Arkansas,32,32,0,.25,0
5,2001,Arkansas,22,22,0,.090909094,0
5,2002,Arkansas,27,27,0,.074074075,0
5,2003,Arkansas,31,31,0,.032258064,0
5,2004,Arkansas,35,35,0,.085714288,.028571429
5,2005,Arkansas,29,29,0,.20689656,.034482758
5,2006,Arkansas,29,29,0,.13793103,0
